google_score,amazon_score,clarifai_score,class,race,gender
0.822523236,95.15465546,0.982946634,Male_South Asian,South_Asian,Male
0.572469234,98.0616684,0.920523405,Male_South Asian,South_Asian,Male
0.762341201,99.24004364,0.915019035,Male_South Asian,South_Asian,Male
0.805321038,99.60276794,0.934536159,Male_South Asian,South_Asian,Male
0.850288868,97.40938568,0.991835177,Male_South Asian,South_Asian,Male
0.549236774,97.95493317,0.970100522,Male_South Asian,South_Asian,Male
0.882997453,97.74502563,0.967199326,Male_South Asian,South_Asian,Male
0.748033822,97.14281464,0.989167333,Male_South Asian,South_Asian,Male
0.77238518,99.04814148,0.940162301,Male_South Asian,South_Asian,Male
0.786678135,98.46994781,0.985583663,Male_South Asian,South_Asian,Male
0.755944252,91.26087952,0.988054514,Male_South Asian,South_Asian,Male
0.824027121,98.61038208,0.987601876,Male_South Asian,South_Asian,Male
0.761590898,79.11040497,0.958831787,Male_South Asian,South_Asian,Male
0.820454776,99.89833069,0.893119693,Male_South Asian,South_Asian,Male
0.883188367,98.34993744,0.993146539,Male_South Asian,South_Asian,Male
0.79137522,94.39152527,0.955007792,Male_South Asian,South_Asian,Male
0.792722583,98.21834564,0.977104247,Male_South Asian,South_Asian,Male
0.844728708,98.74073792,0.948283911,Male_South Asian,South_Asian,Male
0.5,99.57884216,0.5,Male_South Asian,South_Asian,Male
0.83063525,91.32015228,0.969110787,Male_South Asian,South_Asian,Male
0.77107197,99.42172241,0.893594325,Male_South Asian,South_Asian,Male
0.785633683,99.39516449,0.986579537,Male_South Asian,South_Asian,Male
0.5,97.89616394,0.903410614,Male_South-East Asian,South_East_Asian,Male
0.891347528,95.13033295,0.965157032,Male_South-East Asian,South_East_Asian,Male
0.5,93.87104797,0.918977141,Male_South-East Asian,South_East_Asian,Male
0.690144122,96.51094055,0.992184401,Male_South-East Asian,South_East_Asian,Male
0.847400784,98.9758606,0.955689788,Male_South-East Asian,South_East_Asian,Male
0.850953519,99.55569458,0.985378146,Male_South-East Asian,South_East_Asian,Male
0.736821413,98.94345856,0.953465462,Male_South-East Asian,South_East_Asian,Male
0.718192518,78.56451416,0.917578459,Male_South-East Asian,South_East_Asian,Male
0.811962962,98.32714844,0.97211349,Male_South-East Asian,South_East_Asian,Male
0.771124303,99.66694641,0.974129915,Male_South-East Asian,South_East_Asian,Male
0.786666691,99.45398712,0.993608057,Male_South-East Asian,South_East_Asian,Male
0.817227125,97.48969269,0.988047361,Male_South-East Asian,South_East_Asian,Male
0.635797381,50,0.969524503,Male_South-East Asian,South_East_Asian,Male
0.850807428,94.64818573,0.998170972,Male_South-East Asian,South_East_Asian,Male
0.833189309,99.58455658,0.960262775,Male_South-East Asian,South_East_Asian,Male
0.5,96.67314911,0.942734718,Male_South-East Asian,South_East_Asian,Male
0.76428622,99.32158661,0.986903906,Male_South-East Asian,South_East_Asian,Male
0.85334903,99.76407623,0.973112643,Male_South-East Asian,South_East_Asian,Male
0.790538788,98.41797638,0.980055451,Male_South-East Asian,South_East_Asian,Male
0.839603364,98.43647766,0.994955063,Male_South-East Asian,South_East_Asian,Male
0.76688832,97.10299683,0.981650472,Male_South-East Asian,South_East_Asian,Male
0.811595798,98.79380798,0.993061781,Male_South-East Asian,South_East_Asian,Male
0.82120949,99.24336243,0.951144934,Male_South-East Asian,South_East_Asian,Male
0.814240694,96.70990753,0.985111117,Male_South-East Asian,South_East_Asian,Male
0.800354779,99.8653717,0.973143756,Male_South-East Asian,South_East_Asian,Male
0.5,98.57611847,0.988503218,Male_South-East Asian,South_East_Asian,Male
0.730788291,98.97402191,0.916842461,Male_South-East Asian,South_East_Asian,Male
0.810513318,99.33516693,0.991356015,Male_South-East Asian,South_East_Asian,Male
0.793514371,96.70819092,0.965294123,Male_South-East Asian,South_East_Asian,Male
0.79218322,99.85212708,0.989151001,Male_South-East Asian,South_East_Asian,Male
0.79912138,99.76369476,0.980312288,Male_White,White,Male
0.835985661,97.97611237,0.9967314,Male_White,White,Male
0.831582725,97.93022156,0.974333346,Male_White,White,Male
0.786047339,97.49034119,0.963996172,Male_White,White,Male
0.793499053,99.5509491,0.923085868,Male_White,White,Male
0.766710877,99.28466034,0.879402816,Male_White,White,Male
0.825198472,99.32321167,0.995727599,Male_White,White,Male
0.72893399,97.6293335,0.985292673,Male_White,White,Male
0.785580695,99.7771759,0.998713255,Male_White,White,Male
0.645326912,87.55980682,0.5,Male_White,White,Male
0.81358397,99.21193695,0.926550031,Male_White,White,Male
0.824363649,92.69535828,0.988595963,Male_White,White,Male
0.792993486,99.54237366,0.92964983,Male_White,White,Male
0.761567533,99.51638031,0.99187696,Male_White,White,Male
0.82268399,99.90654755,0.993636608,Male_White,White,Male
0.785610914,98.58951569,0.972515106,Male_White,White,Male
0.827876329,98.62177277,0.903229475,Male_White,White,Male
0.823802888,99.05382538,0.992664635,Male_White,White,Male
0.5,98.49628448,0.942039669,Male_White,White,Male
0.783463955,99.57540894,0.970911264,Male_White,White,Male
0.790329874,97.55699158,0.980738997,Male_White,White,Male
0.801965654,97.9045105,0.989908218,Male_White,White,Male
0.811087608,99.23977661,0.989383161,Male_White,White,Male
0.84351933,99.62880707,0.963378429,Male_White,White,Male
0.685221314,98.4753952,0.5,Male_White,White,Male
0.86543709,99.67031097,0.94528228,Male_White,White,Male
0.869876981,99.19341278,0.993348598,Male_White,White,Male
0.793097079,98.98222351,0.927120805,Male_White,White,Male
0.792977989,99.50106049,0.990027785,Male_White,White,Male
0.76279521,88.28777313,0.972319126,Male_White,White,Male
0.740085423,98.47093201,0.974371016,Male_White,White,Male
0.77478826,92.18188477,0.978847861,Female_Black,Black,Female
0.588724136,50,0.904072046,Female_Black,Black,Female
